id,name,year,emoji
1,Göbekli Tepe ceremonial site raised,-9600,🛕
2,Code of Ur-Nammu compiled,-2100,⚖️
3,Pyramid of Djoser completed,-2620,🧱
4,Hammurabi issues his code,-1754,📜
5,Founding of Rome,-753,🐺
6,Battle of Marathon,-490,🏃
7,Aristotle opens the Lyceum,-335,🏛️
8,Qin unifies China,-221,🐉
9,Cleopatra VII becomes pharaoh,-51,👑
10,Julius Caesar assassinated,-44,⚔️
11,Mount Vesuvius buries Pompeii,79,🌋
12,Colosseum inaugurated,80,🏟️
13,Edict of Milan legalizes Christianity,313,✝️
14,Council of Nicaea convenes,325,⛪
15,Western Roman Empire falls,476,🛡️
16,Battle of Tours,732,🗡️
17,Charlemagne crowned emperor,800,👑
18,Norse explorers reach Newfoundland,1000,🛶
19,University of Bologna founded,1088,🎓
20,Magna Carta sealed,1215,📜
21,Marco Polo departs for Asia,1271,🧭
22,Black Death reaches Europe,1347,☠️
23,Gutenberg perfects movable type,1450,🖨️
24,Constantinople falls,1453,🕌
25,Columbus reaches the Americas,1492,🧭
26,Leonardo paints the Mona Lisa,1503,🖼️
27,Martin Luther posts 95 Theses,1517,✒️
28,Tenochtitlán falls to Cortés,1521,🛡️
29,Copernicus publishes heliocentric model,1543,🪐
30,Elizabeth I crowned,1559,👑
31,Spanish Armada defeated,1588,🚢
32,Shakespeare writes Hamlet,1601,🎭
33,Galileo observes Jupiter's moons,1610,🔭
34,Mayflower reaches Plymouth,1620,⛵
35,Taj Mahal commissioned,1632,🏛️
36,English Civil War begins,1642,⚔️
37,Louis XIV begins personal rule,1661,🌞
38,Newton publishes Principia,1687,📘
39,Salem witch trials,1692,🧹
40,St. Petersburg founded,1703,🏰
41,Newcomen builds steam engine,1712,⚙️
42,Franklin's kite experiment,1752,🪁
43,Seven Years' War begins,1756,🎖️
44,Declaration of Independence signed,1776,📜
45,French Revolution storming of Bastille,1789,🇫🇷
46,Haitian Revolution succeeds,1804,🏴
47,Lewis and Clark expedition begins,1804,🗺️
48,Battle of Waterloo,1815,🐎
49,Beethoven premieres Ninth Symphony,1824,🎼
50,Stockton & Darlington railway opens,1825,🚂
51,Darwin boards HMS Beagle,1831,🦎
52,Morse sends first telegraph message,1844,📡
53,California Gold Rush ignites,1848,⛏️
54,Crimean War erupts,1853,⚔️
55,Darwin publishes Origin of Species,1859,🐦
56,American Civil War begins,1861,🎖️
57,Emancipation Proclamation issued,1863,🕊️
58,Suez Canal opens,1869,🚢
59,Bell patents the telephone,1876,☎️
60,Edison lights Menlo Park,1879,💡
61,First modern Olympics,1896,🏅
62,Wright brothers' first flight,1903,✈️
63,Einstein publishes special relativity,1905,∑
64,First Nobel Prizes awarded,1901,🏆
65,Titanic sinks,1912,🛳️
66,First nonstop transatlantic flight,1919,✈️
67,Russian Revolution,1917,🔴
68,Tutankhamun's tomb discovered,1922,🛕
69,Penicillin discovered by Fleming,1928,🧫
70,Wall Street crash begins,1929,📉
71,World War II ends,1945,🕊️
72,India gains independence,1947,🇮🇳
73,Voyage of the Kon-Tiki,1947,🛶
74,NATO founded,1949,🤝
75,First heart transplant,1967,❤️
76,DNA double helix described,1953,🧬
77,Sputnik 1 launches,1957,🛰️
78,Civil Rights Act signed,1964,✊
79,First supersonic flight,1947,✈️
80,Apollo 11 moon landing,1969,🌕
81,ARPANET sends first message,1969,💻
82,Apollo 13 crew returns safely,1970,🚀
83,Watergate break-in,1972,🏛️
84,Rubik's Cube invented,1974,🧊
85,Fall of Saigon,1975,🚁
86,Microsoft founded,1975,💾
87,Voyager 1 launched,1977,🛰️
88,Mount St. Helens erupts,1980,🌋
89,Chernobyl disaster,1986,☢️
90,Berlin Wall falls,1989,🧱
91,Berners-Lee proposes World Wide Web,1989,🌐
92,Nelson Mandela elected president,1994,🗳️
93,Amazon founded,1994,📦
94,Sony PlayStation released,1994,🎮
95,Google founded,1998,🔍
96,Euro currency introduced,1999,💶
97,Human genome draft completed,2000,🧬
98,September 11 attacks,2001,🗽
99,Facebook launches,2004,👥
100,Pluto reclassified as dwarf planet,2006,🪐
